Shimmer_B64C_ECG_RESP_24BIT_CAL,
mV,
481.3947071,
481.4099248,
481.413603,
481.4030732,
481.3988902,
481.4122327,
481.4219691,
481.4060302,
481.3939138,
481.3930483,
481.4012702,
481.4045878,
481.396438,
481.3921108,
481.4121606,
481.4122327,
481.4139636,
481.4067514,
481.4061745,
481.4164879,
481.418363,
481.4030732,
481.392832,
481.3986017,
481.4008375,
481.4004047,
481.3982411,
481.3974478,
481.4151897,
481.4128097,
481.4107903,
481.4053811,
481.4173533,
481.4193727,
481.408843,
481.3958611,
481.3937695,
481.4021357,
481.4040829,
481.4067514,
481.3942744,
481.4019914,
481.4191564,
481.4137472,
481.4081939,
481.4089151,
481.4161273,
481.4247818,
481.4079775,
481.401126,
481.399395,
481.4060302,
481.4046599,
481.400549,
481.3985296,
481.4131703,
481.4202382,
481.4152618,
481.4101412,
481.4119442,
481.4192285,
481.4239885,
481.4065351,
481.3987459,
481.4000441,
481.4048763,
481.403506,
481.3991066,
481.4019914,
481.4224018,
481.4190121,
481.4143242,
481.4081939,
481.4201661,
481.4265128,
481.4116557,
481.4042272,
481.4004047,
481.4043714,
481.4117278,
481.4027126,
481.4001884,
481.4105018,
481.4188679,
481.4179303,
481.4066793,
481.408843,
481.4203824,
481.4257916,
481.4070399,
481.3947071,
481.402352,
481.4061745,
481.4051648,
481.4017029,
481.403506,
481.415406,
481.4203824,
481.4214643,
481.4107903,
481.4149733,
481.4285322,
481.4242049,
481.4062466,
481.4017029,
481.4055975,
481.4117278,
481.4036502,
481.3996835,
481.4114393,
481.41894,
481.4174976,
481.415983,
481.4085545,
481.4219691,
481.4253588,
481.4215364,
481.4045878,
481.4038666,
481.407689,
481.4114393,
481.4089151,
481.4040108,
481.4120884,
481.4212479,
481.4209594,
481.4123048,
481.4154782,
481.4285322,
481.427811,
481.4059581,
481.3994672,
481.4068957,
481.4128818,
481.4138915,
481.4063187,
481.4067514,
481.4228346,
481.426657,
481.4277388,
481.4182188,
481.4268734,
481.4324267,
481.4292534,
481.4086987,
481.4042993,
481.4121606,
481.4181467,
481.4138915,
481.4081218,
481.4193006,
481.4193006,
481.4193006,
481.4293976,
481.4237,
481.4237,
481.4237,
481.4237,
481.4114393,
481.4091315,
481.413026,
481.4193727,
481.4115836,
481.4115836,
481.4255031,
481.4356722,
481.4356722,
481.4356722,
481.4356722,
481.4337249,
481.4307679,
481.4307679,
481.4123769,
481.4123769,
481.4123769,
481.4123769,
481.413026,
481.4132424,
481.4132424,
481.4322825,
481.4245655,
481.4245655,
481.4322825,
481.4343019,
481.4376916,
481.4093478,
481.4107903,
481.4149733,
481.4233394,
481.4226182,
481.4226182,
481.4155503,
481.4155503,
481.4155503,
481.4275225,
481.4258637,
481.4302631,
481.4393504,
481.4212479,
